Input Size	Execution Time
10	            0
10	            15
10	            0
10	            0
10	            0
10	            0
10	            0
10	            0
10	            0
10	            0
100	            0
100	            0
100	            0
100	            15
100	            0
100	            0
100	            0
100	            0
100	            0
100	            0
1000	        15
1000	        15
1000	        15
1000	        15
1000	        15
1000	        15
1000	        15
1000	        15
1000	        15
1000	        15
10000	        143
10000	        140
10000	        163
10000	        147
10000	        149
10000	        182
10000	        150
10000	        151
10000	        149
10000	        148
100000      	2789
100000      	2773
100000      	2768
100000      	2685
100000      	2929
100000      	2793
100000        	2746
100000      	2669
100000      	2694
100000      	2980
